Type,Name,Datatype,Justify,Cacheable,Length,Decimals,UnitType,Unit,Precision
OBJECT,ADDRESS,string,LEFT,TRUE,20,0,,,
OBJECT,ACN,int,LEFT,TRUE,5,0,,,
OBJECT,ACTIVE_DESIGN_CODE,int,RIGHT,TRUE,3,0,,,
OBJECT,ACTUAL_STARTDATE,int,LEFT,TRUE,12,0,Date,dd.mm.yyyy,
OBJECT,ACTUAL_ENDDATE,int,LEFT,TRUE,12,0,Date,dd.mm.yyyy,
OBJECT,ALIAS_NAME1,string,LEFT,TRUE,20,0,,,
OBJECT,ALIAS_NAME2,string,LEFT,TRUE,20,0,,,
OBJECT,ALIAS_NAME3,string,LEFT,TRUE,20,0,,,
OBJECT,ANG_S,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANG_T,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANG_U,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANG_U_MAX,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANG_U_MIN,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANG_V,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANG_V_MAX,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANG_V_MIN,double,RIGHT,TRUE,8,0,Angle,Degrees,
OBJECT,ANGLE,double,RIGHT,TRUE,7,2,Angle,Degrees,
OBJECT,AREA,double,RIGHT,TRUE,8,0,Area,m2,
OBJECT,AREA_GROSS,double,RIGHT,TRUE,8,0,Area,m2,
OBJECT,AREA_NET,double,RIGHT,TRUE,8,0,Area,m2,
OBJECT,AREA_PER_TONS,double,RIGHT,TRUE,8,0,Area,m2,
OBJECT,AREA_PLAN,double,RIGHT,TRUE,8,0,Area,m2,
OBJECT,AREA_PROJECTION_GXY_NET,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_GXZ_NET,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_GYZ_NET,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_GXY_GROSS,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_GXZ_GROSS,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_GYZ_GROSS,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_XY_NET,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_XZ_NET,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_YZ_NET,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_XY_GROSS,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_XZ_GROSS,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PROJECTION_YZ_GROSS,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PGZ,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_NGZ,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PGX,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_NGX,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PGY,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_NGY,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PZ,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_NZ,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PX,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_NX,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_PY,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_NY,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_FORM_TOP,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_FORM_BOTTOM,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,AREA_FORM_SIDE,double,RIGHT,TRUE,8,0,Area,mm2,
OBJECT,ASSEMBLY_BOTTOM_LEVEL,string,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_BOTTOM_LEVEL_GLOBAL,string,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_BOTTOM_LEVEL_UNFORMATTED,double,LEFT,TRUE,10,0,Length,mm,
OBJECT,ASSEMBLY_BOTTOM_LEVEL_GLOBAL_UNFORMATTED,double,LEFT,TRUE,10,0,Length,mm,
OBJECT,ASSEMBLY_DEFAULT_PREFIX,string,LEFT,TRUE,2,0,,,
OBJECT,ASSEMBLY_NAME,string,LEFT,TRUE,20,0,,,
OBJECT,ASSEMBLY_PLWEIGHT,double,RIGHT,TRUE,10,0,Weight,kg,
OBJECT,ASSEMBLY_POS,string,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_POSITION_CODE,string,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_PREFIX,string,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_SERIAL_NUMBER,int,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_START_NUMBER,int,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_TOP_LEVEL,string,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_TOP_LEVEL_GLOBAL,string,LEFT,TRUE,10,0,,,
OBJECT,ASSEMBLY_TOP_LEVEL_UNFORMATTED,double,LEFT,TRUE,10,0,Length,mm,
OBJECT,ASSEMBLY_TOP_LEVEL_GLOBAL_UNFORMATTED,double,LEFT,TRUE,10,0,Length,mm,
OBJECT,ASSOCIATED_OBJECT_ID,int,LEFT,TRUE,10,0,,,
OBJECT,ATTACHEDPARTID,int,LEFT,TRUE,10,0,,,
OBJECT,AUTOPRIMARYWEIGHT,int,LEFT,TRUE,1,0,,,
OBJECT,BOLT_COUNTERSUNK,int,LEFT,TRUE,1,0,,,
OBJECT,BOLT_EDGE_DISTANCE,double,LEFT,TRUE,5,0,Length,mm,
OBJECT,BOLT_EDGE_DISTANCE_MIN,double,LEFT,TRUE,5,0,Length,mm,
OBJECT,BOLT_MATERIAL_LENGTH,double,LEFT,TRUE,4,0,Length,mm,
OBJECT,BOLT_NPARTS,int,LEFT,TRUE,3,0,,,
OBJECT,BOLT_STANDARD,string,LEFT,TRUE,10,0,,,
OBJECT,BOLT_THREAD_LENGTH,double,LEFT,TRUE,5,0,Length,mm,
OBJECT,BOTTOM_LEVEL,string,LEFT,TRUE,10,0,,,
OBJECT,BOTTOM_LEVEL_GLOBAL,string,LEFT,TRUE,10,0,,,
OBJECT,BOTTOM_LEVEL_UNFORMATTED,double,LEFT,TRUE,10,0,Length,mm,
OBJECT,BOTTOM_LEVEL_GLOBAL_UNFORMATTED,double,LEFT,TRUE,10,0,Length,mm,
OBJECT,BOUNDING_BOX_MIN_X,double,RIGHT,TRUE,8,2,Length,mm,
OBJECT,BOUNDING_BOX_MIN_Y,double,RIGHT,TRUE,8,2,Length,mm,
OBJECT,BOUNDING_BOX_MIN_Z,double,RIGHT,TRUE,8,2,Length,mm,
OBJECT,BOUNDING_BOX_MAX_X,double,RIGHT,TRUE,8,2,Length,mm,
OBJECT,BOUNDING_BOX_MAX_Y,double,RIGHT,TRUE,8,2,Length,mm,
OBJECT,BOUNDING_BOX_MAX_Z,double,RIGHT,TRUE,8,2,Length,mm,
OBJECT,BOUNDING_BOX_X,double,LEFT,TRUE,6,0,Length,mm,
OBJECT,BOUNDING_BOX_Y,double,LEFT,TRUE,6,0,Length,mm,
OBJECT,BOUNDING_BOX_Z,double,LEFT,TRUE,6,0,Length,mm,
OBJECT,BUILDER,string,LEFT,TRUE,20,0,,,
OBJECT,CANTILEVER,double,RIGHT,TRUE,7,0,Length,mm,
OBJECT,CAST_UNIT_HEIGHT_ONLY_CONCRETE_PARTS,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_HEIGHT_ONLY_PARTS,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_HEIGHT_TOTAL,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_LENGTH_ONLY_CONCRETE_PARTS,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_LENGTH_ONLY_PARTS,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_LENGTH_TOTAL,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_NAME,string,LEFT,TRUE,20,0,,,
OBJECT,CAST_UNIT_POS,string,LEFT,TRUE,10,0,,,
OBJECT,CAST_UNIT_POSITION_CODE,string,LEFT,TRUE,10,0,,,
OBJECT,CAST_UNIT_PREFIX,string,LEFT,TRUE,10,0,,,
OBJECT,CAST_UNIT_REBAR_WEIGHT,double,RIGHT,TRUE,8,0,Weight,kg,
OBJECT,CAST_UNIT_SERIAL_NUMBER,int,LEFT,TRUE,10,0,,,
OBJECT,CAST_UNIT_TYPE,string,LEFT,TRUE,20,0,,,
OBJECT,CAST_UNIT_VERTICAL_POSITION_CODE,string,LEFT,TRUE,10,0,,,
OBJECT,CAST_UNIT_WIDTH_ONLY_CONCRETE_PARTS,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_WIDTH_ONLY_PARTS,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CAST_UNIT_WIDTH_TOTAL,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CATALOG_NAME,string,LEFT,TRUE,20,0,,,
OBJECT,CC,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_CROSS,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_EXACT,string,LEFT,TRUE,20,0,Length,mm,
OBJECT,CC_EXACT_CROSS,string,LEFT,TRUE,20,0,Length,mm,
OBJECT,CC_EXACT_LONG,string,LEFT,TRUE,20,0,Length,mm,
OBJECT,CC_LONG,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_MAX,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_MAX_CROSS,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_MAX_LONG,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_MIN,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_MIN_CROSS,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_MIN_LONG,int,RIGHT,TRUE,4,0,Length,mm,
OBJECT,CC_PITCHING_CROSS,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CC_PITCHING_LONG,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,CC_TARGET,string,LEFT,TRUE,20,0,Length,mm,
OBJECT,CHANGES,string,LEFT,TRUE,20,0,,,
OBJECT,CHECKED_BY,string,LEFT,TRUE,20,0,,,
OBJECT,CLASS,string,LEFT,TRUE,6,0,,,
OBJECT,CLASS_ATTR,string,LEFT,TRUE,6,0,,,
OBJECT,CODE,string,LEFT,TRUE,12,0,,,
OBJECT,COG_X,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,COG_Y,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,COG_Z,double,RIGHT,TRUE,8,0,Length,mm,
OBJECT,COLOR,string,LEFT,TRUE,20,0,,,
OBJECT,COMMENT,string,LEFT,TRUE,20,0,,,
OBJECT,COMPATIBLE,int,LEFT,TRUE,5,0,,,
OBJECT,COMPLETENESS,string,LEFT,TRUE,20,0,,,
OBJECT,CONCRETE_MIXTURE,string,LEFT,TRUE,20,0,,,
